ids,question,choice1,choice2,choice3,choice4,correctChoices,module,course,credential,topicID,educationLevel,difficultyUnnormalised,relevantInfoID
1,Complete the sentence. Artificial intelligence (AI) refers to the ability of a machine to ________________ and ________________.,"create algorithms, generalize information","identify emotions, transfer data","learn patterns, make predictions","secure data, create algorithms",3,What is Artificial Intelligence,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,10,1
2,Which of the following Narrow AI systems would you want to include when building the Broad AI system for a self-driving car?,International news,Long-term weather patterns,Information from the global positioning system (GPS),Entertainment trends,3,What is Artificial Intelligence,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,20,1
3,What one word best describes what AI can do?,Decide,Calculate,Think,Predict,4,What is Artificial Intelligence,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,10,1
4,"Fill in the blank. __________ systems are used to predict global weather, trace pandemics, and help businesses predict future trends?",General AI,Targeted AI,Narrow AI,Broad AI,4,What is Artificial Intelligence,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,20,1
5,"Complete the sentence. ________________ performs tasks without human intervention and completes mundane and repetitive tasks for humans, while ________________ allows humans to make final decisions after analyzing data, reports, and other types of data.","AI, Narrow AI","Augmented intelligence, AI","Augmented intelligence, Narrow AI","AI, augmented intelligence",4,What is Artificial Intelligence,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,30,1
6,In which era did computers guide astronauts from Earth to the moon and advance to handle more than one kind of instruction?,The Era of Industrialization,The Era of Programming,The Era of AI,The Era of Tabulation,2,What are the three eras of Computing,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,20,2
7,Which of the following is the correct order of the three eras of computing?,"Tabulation, Programming, AI","Programming, Tabulation, AI","Tabulation, AI, Programming","AI, Programming, Tabulation",1,What are the three eras of Computing,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,30,2
8,What were the main causes of the First Winter of AI? Select two.,Lack of funding,High expectations,Intellectual property theft,Buggy program code and slow language execution,"1,2",What are the three eras of Computing,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,40,2
9,"In which era did machines help humans sort data into structures to reveal its secrets, that is, to reveal more insight than just simply counting to get a sum total?",The Era of Programming,The Era of Tabulation,The Era of AI,The Era of Industrialization,2,What are the three eras of Computing,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,20,2
10,"In which era did the advancements in fields ranging from cancer research to energy production show how its achievements impact people every day, and that it has exponentially increasing abilities?",The Era of Programming,The Era of AI,The Era of Industrialization,The Era of Tabulation,2,What are the three eras of Computing,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,40,2
11,"Shelby writes a survey that includes the following question: “Do you like chocolate (circle Yes or No), and why?” Which of the following describes the data Shelby will collect?",Neither structured data nor unstructured data,Structured data,Both structured data and unstructured data,Unstructured data,3,"Structured, Semi-Structured, Unstructured data",Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,30,3
12,Fill in the blank. Data that is not completely raw and contains elements such as tags and organizational metadata is known as _______________ .,structured data,true data,unstructured data,semi-structured data,4,"Structured, Semi-Structured, Unstructured data",Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,20,3
13,Approximately how much of the world’s data today is unstructured?,90,40,80,85,3,"Structured, Semi-Structured, Unstructured data",Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,50,3
14,"If names and email addresses are organized using a spreadsheet software, like Google Sheets or Microsoft Excel, which of type of data is this?",True data,Semi-structured data,Structured data,Unstructured data,3,"Structured, Semi-Structured, Unstructured data",Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,20,3
15,Which of the following is most likely to be unstructured data?,Prescriptions for patients in a large hospital,Social media posts,Ingredients for baking bread,The breeds of entrants in a dog show,2,"Structured, Semi-Structured, Unstructured data",Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,30,3
16,"Complete the sentence. Machine learning is a type of AI with many advantages over programmable computers, including the distinguishing capability to _______________ and _______________.","search, define","use structured data, locate solutions","predict, learn","use databases, find solutions",3,Is Machine Learning the answer to the unstructured data problem?,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,10,4
17,Tomas is programming an app to help people find their way in his city. He programs every possible route from the university auditorium to the museum. Which of the following is Tomas likely using?,Programmable computing,Machine learning,Heuristic computing,Deep learning,1,Is Machine Learning the answer to the unstructured data problem?,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,40,4
18,Which of the following is an example of a probabilistic calculation?,An unreliable calculation,Wording that is probably correct,A strong feeling you are most likely correct,A 78% chance of being wrong,4,Is Machine Learning the answer to the unstructured data problem?,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,10,4
19,Why does machine learning find answers in unstructured data more quickly than a programmable computer?,Machine learning analyzes every data combination.,Machine learning assembles all the data into a table before calculating.,Machine learning uses the most sophisticated program code.,Machine learning can search every combination of factors very quickly.,4,Is Machine Learning the answer to the unstructured data problem?,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,30,4
20,Fill in the blank. Machine learning can analyze ______________ data more quickly than a programmable computer can.,triangulated,supervised,structured,dark,4,Is Machine Learning the answer to the unstructured data problem?,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,10,4
21,"Stephen was laid off last month from his executive-level position at an industrial chemical company. He worked in the research and development (R&D) department. On his last day of work, Stephen downloaded his latest project’s information to his personal USB flash drive. He is bitter about losing his job and considering selling the drive to another company’s R&D department. Which threat actor group does Stephen represent?",Hacktivist,Criminal gang,Nation state hacker,Malicious insider,4,Threat actor groups,Cybersecurity: On the offensive,Cybersecurity,2,College,20,5
22,"She-Ra Cat is a pseudonym for a hacker who was a member of a collective European group in 2019. The group expressed solidarity with a foreign country during economic unrest, stating that the government “refused to listen to its people”. The group launched cyberattacks against the government’s websites. Its expressed purpose was to spread the word about the government’s failure to comply with the people’s wishes. Which threat actor group does She-Ra Cat represent?",Hacktivist,Criminal gang,Nation state hacker,Malicious insider,1,Threat actor groups,Cybersecurity: On the offensive,Cybersecurity,2,College,20,5
23,"Your company’s website experiences a sudden influx of traffic. At this time of day, the site usually receives a dozen or so visits. Instead, the site is receiving hundreds of connection requests. This traffic is causing the website to load very slowly if it loads at all. Which type of cyberattack might be occurring?",Denial-of-service (DoS) attack,Structured query language (SQL) injection,Man-in-the-middle (MitM) attack,Spear phishing,1,Types of cyber attacks,Cybersecurity: On the offensive,Cybersecurity,2,College,20,6
24,"Rinaldo receives an email that seems to be from a company that he’s done business with many times. The email informs him that his invoice is ready and that he should click the attached file to view it. But the file is malware in disguise, and by clicking it, Rinaldo installs the malware on his computer. Which type of cyberattack does this scenario represent?",Man-in-the-middle (MitM) attack,Domain Name System (DNS) attack,Structured query language (SQL) injection,Phishing,4,Types of cyber attacks,Cybersecurity: On the offensive,Cybersecurity,2,College,30,6
25,"ByteWave Innovations is a small but growing technology company. A competitor obtained copies of the company’s research and development plans. Cordelia, the head of the company’s cybersecurity division, suspects corporate espionage. The leaked information contained details that an outsider can obtain only by monitoring the keystrokes of certain employees. Which type of cyberattack did the attacker most likely use to collect this information?",Structured query language (SQL) injection,Malware,Domain Name System (DNS) attack,Denial of Service (DoS) attack,2,Types of cyber attacks,Cybersecurity: On the offensive,Cybersecurity,2,College,40,6
26,You are part of the cybersecurity team at your company. You notice several failed login attempts on your web server. What should you do to better understand these login attempts?,Perform a vulnerability scan.,Execute several ping tests.,Run the tracert command.,Use the Shodan search engine.,1,Structure of a cyberattack,Cybersecurity: On the offensive,Cybersecurity,2,College,30,7
27,"Anders leads the cybersecurity team for SecureNest Investments, a prominent national financial institution. He learns through threat intelligence that a hacktivist group might attack his organization in response to the CEO’s alleged support for a controversial political candidate. He plans to discuss the situation with company leadership and detail his plan for combatting this threat. What is the most appropriate strategy for Anders to outline in his plan?",Review employees’ social media profiles for signs of affiliation with the hacktivists.,Deploy fully coordinated defenses around every aspect of the organization.,Start a task force that examines the company’s data encryption policies.,Confirm that defenses can cope with an extended disruptive attack.,4,Final Assessment,Cybersecurity: On the offensive,Cybersecurity,2,College,40,"5,6,7"
28,"Sabine is an aspiring investigative journalist planning to publish a blog post examining a local politician. To aid her research, she plans to use an analyst tool that searches for links between the data sets that she compiles. Which guideline for gathering open-source information will help Sabine’s analyst tool perform better?",Gather a large amount of information.,Rely only on information that you can verify.,Use just internet sources when possible.,Examine relevant forum discussions first.,1,Final Assessment,Cybersecurity: On the offensive,Cybersecurity,2,College,40,"5,6,7"
29,You’re a cybersecurity consultant advising a client on potential threats. The client asks why many cybercriminals use cryptocurrencies for their illicit activities. How do you respond?,International institutions accept cryptocurrencies.,Criminals can steal cryptocurrencies more easily.,Cryptocurrencies offer anonymity to users.,Users can easily track cryptocurrency transactions.,3,Final Assessment,Cybersecurity: On the offensive,Cybersecurity,2,College,10,"5,6,7"
30,"You access a website using the same URL that you frequently use to access it. You notice that the website looks different now, and the URL seems slightly different in the address bar. Which type of cyberattack does this scenario represent?",Denial-of-service (DoS) attack,Domain Name System (DNS) attack,Man-in-the-middle (MitM) attack,Structured query language (SQL) injection,2,Final Assessment,Cybersecurity: On the offensive,Cybersecurity,2,College,30,"5,6,7"
31,Imagine that ransomware infects your company’s servers. What would the attacker likely demand for the restoration of your files?,A specified amount of money as ransom,Physical assets that belong to the company,A public apology for the CEO’s alleged misdeeds,Unrestricted access to the company’s databases,1,Final Assessment,Cybersecurity: On the offensive,Cybersecurity,2,College,20,"5,6,7"
32,Krysia is a vulnerability assessment specialist for her company. She performs a port scan on one of her company’s network devices and discovers that TCP port 80 is open. What should Krysia conclude from her discovery?,A web-based application might be in use.,Someone is controlling the device remotely.,The network is vulnerable to an attack.,Windows file sharing is active on the device.,1,Final Assessment,Cybersecurity: On the offensive,Cybersecurity,2,College,10,"5,6,7"
33,Imagine that you’re using Zenmap to scan a host. What information about the host do you need to perform your scan?,Server software,Port number,Web address,Operating system,3,Final Assessment,Cybersecurity: On the offensive,Cybersecurity,2,College,20,"5,6,7"
34,Gracie is a cybersecurity professional at her company. One of her responsibilities is periodically running version detection scans on company devices. Why would a cybersecurity professional such as Gracie run a version detection scan?,To find administrator credentials coded into software.,To intercept communication between hosts.,To discover outdated software running on targets.,To perform an inventory of all network devices.,3,Final Assessment,Cybersecurity: On the offensive,Cybersecurity,2,College,20,"5,6,7"
35,"Imagine that you’re helping your company develop new cybersecurity policies and procedures. In a meeting, you summarize famous cybersecurity case studies to demonstrate the need for various types of policies. One case study you summarize is the 2022 Cash App breach examined in this course. What lesson should you highlight from this breach?",The need to resist paying ransoms to unlock data in ransomware cases,The need for strict access control policies for terminated employees,The need to update system and network software regularly,The need to limit the capabilities of third parties in supply chains,2,Final Assessment,Cybersecurity: On the offensive,Cybersecurity,2,College,50,"5,6,7"
36,"Imagine that you’re a cybersecurity consultant hired by a local government organization. Script kiddies have targeted the organization recently, and the organization wants to safeguard itself for future attacks from this group. What should you recommend that the organization do to protect itself from script kiddies?",Verify that defenses can cope with an extended denial-of-service (DoS) attack.,Ensure that the patching schedule is effective and that perimeter defenses are updated.,Assemble a fully trained workforce with protections around critical assets and backups.,Monitor staff carefully and establish an effective and positive organizational culture.,2,Final Assessment,Cybersecurity: On the offensive,Cybersecurity,2,College,30,"5,6,7"
37,"DataVista Technologies, a tech startup, has just experienced a malware attack that resulted in a data breach. The company hires Mustafa, a cybersecurity consultant, to investigate the attack and help prevent future ones like it. Mustafa decides to apply the Cyber Kill framework to better understand the attack and explain it to his client. He identifies events in the attack that correspond to the framework. The attacker probed the DataVista Technologies servers for vulnerabilities, chose the malware for the attack, and then sent the malware to some employees through email. In the fourth step of the Cyber Kill framework, the malware was activated. Which of the following events in the attack corresponds to the Cyber Kill framework’s fourth step, exploitation?",The attacker disrupts the company’s operations by tampering with the inventory management system.,"An employee clicks a suspicious link in an email, which grants the malware access to the company’s systems.",The malware creates a backdoor in the system so that the attacker can maintain network access even if the initial vulnerability is patched.,The attacker uses a hidden web server to establish communication with compromised systems and the malware.,2,Final Assessment,Cybersecurity: On the offensive,Cybersecurity,2,College,40,"5,6,7"
38,"A friendly stranger in a work uniform is trying to get into your workplace building. They say that someone at the head office sent them, but they forgot their pass. What should you do?",Ignore them and continue doing whatever you were doing before.,Let them in because their uniform looks legitimate and they’re in a hurry.,Refuse entry and call local police to have them handle the situation.,Ask them to wait outside while a security guard verifies their story.,4,Final Assessment,Cybersecurity: On the offensive,Cybersecurity,2,College,30,"5,6,7"
39,"During a busy workday, you receive an unexpected email from a coworker. In the email, your coworker asks for assistance with an urgent task. The email requests information that you don’t typically share. What should you do?",Report your coworker to your supervisor for requesting sensitive information.,Reply to the email to confirm the sender’s identity.,Provide the information since your coworker is in distress.,Verify the sender through another channel before responding.,4,Final Assessment,Cybersecurity: On the offensive,Cybersecurity,2,College,20,"5,6,7"
40,"While reviewing a spreadsheet with customer information, you see that one of the columns contains data for the marital status of the customers. What type of data is this?",Discrete,Nominal,Ordinal,Continuous,2,Types of data,Introduction to Data concepts,Data and Analytics,4,College,10,8
41,What type of data is on a driver’s license that records a person's eye color and hair color?,Qualitative Data,Quantitative data,,,1,Types of data,Introduction to Data concepts,Data and Analytics,4,College,10,8
42,Which of the following conclusions can you make about structured data? Select the two that apply.,"It’s raw data that is stored in its original, undefined format.","Examples can include names, dates, and addresses.",It’s organized into rows and columns in a spreadsheet or database.,"Examples can include images, text messages, and social media posts.","2,3",Types of data,Introduction to Data concepts,Data and Analytics,4,College,20,8
43,"Fill in the blank. Text in a book, audio files, and social media posts are examples of _______________ data.",complex,structured,database,unstructured,4,Types of data,Introduction to Data concepts,Data and Analytics,4,College,10,8
44,What is the speed at which new data is generated and moves around?,Velocity,Value,Veracity,Volume,1,Big data,Introduction to Data concepts,Data and Analytics,4,College,10,9
45,"Fill in the blank. The __________ of big data refers to the ability to obtain monetary, medical, social, or personal benefits from the data.",Volume,Velocity,Veracity,Value,4,Big data,Introduction to Data concepts,Data and Analytics,4,College,10,9
46,"Fill in the blank. With big data, the __________ is the quality and trustworthiness of the data.",Value,Veracity,Volume,Velocity,2,Big data,Introduction to Data concepts,Data and Analytics,4,College,10,9
47,Which type of analytics recommends actions to take to eliminate a future problem or take advantage of a promising trend?,Prescriptive analytics,Diagnostic analytics,Descriptive analytics,Predictive analytics,1,Types of data analytics,Introduction to Data concepts,Data and Analytics,4,College,20,10
48,Which type of analytics drills down the trends and patterns to identify the causes of problems?,Predictive analytics,Prescriptive analytics,Diagnostic analytics,Descriptive analytics,3,Types of data analytics,Introduction to Data concepts,Data and Analytics,4,College,20,10
49,Which type of analytics makes forecasts about the future?,Descriptive analytics,Prescriptive analytics,Predictive analytics,Diagnostic analytics,3,Types of data analytics,Introduction to Data concepts,Data and Analytics,4,College,20,10
50,A company uses data analytics to get a “snapshot” of its business and to identify issues. The company’s data sources are past and present revenue reports and stock prices. Which type of analytics uses this type of data?,Prescriptive analytics,Predictive analytics,Descriptive analytics,Diagnostic analytics,3,Types of data analytics,Introduction to Data concepts,Data and Analytics,4,College,30,10
51,In which step would a data analyst investigate and use the right analytical methods to find root causes?,Clean,Collect,Analyze,Visualize,3,Steps to analyze data,Introduction to Data concepts,Data and Analytics,4,College,10,11
52,In which step would a data analyst be careful to follow the company guidelines when storing data for security purposes?,Collect,Clean,Analyze,Visualize,1,Steps to analyze data,Introduction to Data concepts,Data and Analytics,4,College,10,11
53,In which step would a data analyst spend a majority of their time,Collect,Clean,Visualize,Analyze,2,Steps to analyze data,Introduction to Data concepts,Data and Analytics,4,College,10,11
54,In which step would a data analyst figure out the best way to depict his results in a team presentation?,Clean,Collect,Visualize,Analyze,3,Steps to analyze data,Introduction to Data concepts,Data and Analytics,4,College,10,11
55,Which of the following statements about data visualizations is correct?,"The goal is to have a visual that is effective, attractive, and impactive.",The audience should be confused when they first see a visualization.,Data visualizations turn narratives into numbers.,Data analysts typically use one of four types of visualizations.,1,Visualize the data,Introduction to Data concepts,Data and Analytics,4,College,30,12
56,What is the purpose of a data visualization? Select the two that apply.,"Organize data in a usable format, such as a spreadsheet, for people to easily access.",Communicate results and help people understand the insights to make decisions.,Explore and interpret data during analysis to identify patterns or trends.,,"2,3",Visualize the data,Introduction to Data concepts,Data and Analytics,4,College,40,12
57,"Which type of visualization is best-suited for ranking a large number of categories, showing correlation, and using for before-after analysis?",Bar chart,Pie chart,Line chart,Scatter plot chart,1,Visualize the data,Introduction to Data concepts,Data and Analytics,4,College,30,12
58,You are examining data in a case study. The case study data is the daily height and weight of newborn babies that has been collected during their stay in a hospital before going home. What type of data is this?,Ordinal,Nominal,Continuous,Discrete,3,Final Assessment,Introduction to Data concepts,Data and Analytics,4,College,20,"8,9,10,11,12"
59,"You are considering buying a new desk for your home office. It is black, made of steel, and the table height can be adjusted. What kind of information is this?",Qualitative data,Ordinal data,Quantitative data,Discrete data,1,Final Assessment,Introduction to Data concepts,Data and Analytics,4,College,20,"8,9,10,11,12"
60,MyBank is noticing incorrect formatting and typos in the data it receives from one of its sources. What characteristic of big data does this scenario describe?,Veracity,Value,Velocity,Volume,1,Final Assessment,Introduction to Data concepts,Data and Analytics,4,College,20,"8,9,10,11,12"
61,"The data analyst for an insurance company has performed diagnostic analytics on data and discovered some unexpected patterns in insurance claims. Next, the data analyst wants to drill down and find out the reason for these unexpected patterns. What kind of analytics will the data analyst use to answer the question, “Why is this happening?”",Descriptive analytics,Predictive analytics,Diagnostic analytics,Prescriptive analytics,3,Final Assessment,Introduction to Data concepts,Data and Analytics,4,College,40,"8,9,10,11,12"
62,You need to display the number of customer service calls your team answered over the past month to determine trends and the busiest times. Which chart is best for this type of visualization?,Pie chart,Map,Scatter plot chart,Line chart,4,Final Assessment,Introduction to data concepts,Data and Analytics,4,College,20,"8,9,10,11,12"
63,BigTech deployed a new mobile app to its customers and as a result has generated much more data about customers than before. What characteristic of big data does this scenario describe?,Variety,Volume,Veracity,Velocity,2,Final Assessment,Introduction to data concepts,Data and Analytics,4,College,20,"8,9,10,11,12"
64,How does cloud computing improve on the early internet server model?,By splitting files into smaller packets before transmitting them between servers.,By separating server features into distinct functions and using specially designed and dedicated servers to perform them.,"By delivering all the services a website needed, like storage, networking, and security, all on one server.",By splitting all network traffic over many small servers running under people’s desks.,2,How do Computers Communicate,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,30,
65,You are streaming your favorite show on your smart television. Your television receives several packets of the show video data and some metadata. What does the networking hardware use the metadata to do?,Connect the packet to the one before it and the one that follows it.,Create subtitles for the show.,Reassemble the packets into the original file in the right order.,Provide the soundtrack for the show.,3,How do Computers Communicate,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,20,
66,What is the smallest unit of measurement that computer scientists use when measuring data?,Bit,Yottabyte,Byte,Gigabit,1,How do Computers Communicate,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,10,
67,What feature of computer networks ensures that your device transmits the information in an email correctly and efficiently to the device of the recipient?,"Routers, switches, and hubs",Data,Network protocols,"Cables, fiber optics, and wireless signals",3,How do Computers Communicate,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,20,
68,Why do networks divide large files into smaller packets and then reassemble them into the original file at the destination?,To reduce each file to one byte in size,To add metadata to the file,To avoid exceeding the file size limit on the network,To avoid blocking the network with a large file,4,How do Computers Communicate,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,40,
69,"Tom is a network administrator who is responsible for provisioning resources, monitoring usage, and enforcing security policies for his company’s cloud. Which component of the cloud can he use?",Virtual computers,Physical computers,Management software,Networking devices,3,How does cloud computing work?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,20,
70,What is the primary role of a data center?,To provide a secure and controlled environment for the reliable operation of cloud infrastructure,To provide a space to convert historical paper-based documents into digital records,To provide a space for computer scientists to enter data into many computers for search engines to use,To provide one high-powered computer per website to host web pages and store files,1,How does cloud computing work?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,20,
71,"The storage, bandwidth, and processing power of the cloud make many innovations possible. Which of the following are innovations that the cloud enables? Select all that apply.",Natural identity processing,Smart phones and tablets,Global identity access management (IAM),Personal digital assistants,"3,4",How does cloud computing work?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,40,
72,Swift Auto Solutions is a national car rental company that recently started using cloud applications such as natural language processing (NLP) and image recognition into its new chatbot. They aim to help customers get fast answers to their car rental questions. Which of the following statements reflects a benefit the business can expect from using cloud services?,The customer service process should be more involved and less automated for customers and the business.,"The customer service process should be easier, faster, and more reliable for customers and the business.",The customer service process should experience a reduction in the number of customer questions.,The network administrators should expect a reduction in the number of computers the business needs to store data.,2,How does cloud computing work?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,30,
73,Why do cloud providers have data centers located all over the world?,To improve speed and reliability for users,To spread the power consumption across multiple locations,To support different time zones,To enable different countries to access websites in their own languages,1,How does cloud computing work?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,20,
74,A number of organizations have adopted work-from-home policies. What user benefit of the cloud enables remote work and lets users easily collaborate with others?,Cost savings,Flexibility,Innovation,Security,2,How does cloud computing work?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,10,
75,"Cloud computing distributes the functions of computing hardware over hundreds and, in most cases, thousands of computers, which enables users to use as much or as little power as they need when they need it. What do computer engineers call this characteristic of cloud computing?",Specifications,Agility,Scalability,Resilience,3,How does cloud computing work?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,25,
76,"Harjeet uploads a presentation to the cloud from his desktop at work. Later, at home, he accesses the file from his work laptop to make a few changes. The next day, before his presentation, he uses his work cell phone to open the file again to review the presentation. What characteristic of cloud computing is demonstrated by this scenario?",Availability,Flexibility,Access management,Elasticity,1,How does cloud computing work?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,15,
77,"FortuneFirst Financial Group is using the cloud to break down their payment processing system into smaller, independent parts that can do specific jobs of the process, such as payment authorization, fraud detection, and transaction processing. This is an example of which cloud service?",Performance,Apps,Workloads,Connected devices,3,How does cloud computing work?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,30,
78,Which cloud service enables you to set up one account with many cloud providers to gain access to a variety of software and services?,Single sign-on,Apps,Cloud storage,Performance,1,How does cloud computing work?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,10,
79,Fill in the blank. Cloud developers can use a lightweight form of virtualization technology called __________ to reduce costs and make their applications faster.,serverless computers,network virtualization,containers,protocols,3,How do technology advancements impact the cloud?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,20,
80,Which of the following advancements in technology involves processing data close to where it is generated to improve application performance and reduce delays?,Edge computing,Intent-based networking,Serverless computing,Blockchain,1,How do technology advancements impact the cloud?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,25,
81,Which of the following emerging technologies will be able to process information billions of times faster than today’s computers?,AI and NLP,Blockchain,Internet of Things (IoT),Quantum computing,4,How do technology advancements impact the cloud?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,30,
82,"Pablo just added smart lightbulbs and a robot vacuum to his home. Using his smartwatch, he can automate when the lightbulbs turn on and where his robot vacuum will clean. He can even tell his home voice assistant to turn off his lights. Which of the following types of technology provides this control to Pablo?",Blockchain,Internet of Things (IoT),5G,Quantum computing,2,How do technology advancements impact the cloud?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,30,
83,A large data center is upgrading their graphics processing units (GPUs) to decrease the time it takes to run intensive calculations like image recognition and improve performance for certain types of jobs. What improvement in computer technology is this an example of?,Increasing the use of containers,Improving efficiency,Reducing component size,Increasing processing power,4,How do technology advancements impact the cloud?,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,20,
84,What key area of cloud computing advancements will make the cloud more efficient as technology increases computing power while consuming less electrical power? ,Virtualization technology,Network technology,Computer technology,Data center technology,3,Final Assessment,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,15,
85,"Which of the following technologies includes advances in cellular and wireless technology that will dramatically increase connectivity to the cloud, making using the cloud more seamless? ",Quantum computing,Blockchain,Artificial intelligence,"5G, Wi-Fi 6, and beyond",4,Final Assessment,Introduction to cloud computing,Cloud Computing Fundamentals,8,College,25,
86,Saamir is a software developer who wants to use the software development lifecycle (SDLC) in the cloud. Which overall phases does he need to follow?,"Goals, tools, automate, test, and monitor","Design, machine learning, big data, analytics, and AI","Plan, analyze, develop, and document","Plan, design, develop, test, and deploy",4,Developing software in the cloud,Developing and deploying software in the cloud,Cloud Computing Fundamentals,8,College,20,
87,Cheng is an experienced developer in a traditional software development environment. He recently accepted a new role as a cloud developer. How would he find cloud development to be different from traditional development?,He would use a centralized development model and build one large software application that runs on a private network.,He would follow a linear development model that consists of phases.,He would use a local computer with an operating system and programming language.,He would use a microservices model and build multiple small software applications that work together.,4,Developing software in the cloud,Developing and deploying software in the cloud,Cloud Computing Fundamentals,8,College,30,
88,Which of the following is a benefit that cloud-based DevOps tools and technologies can bring to a software development team?,"Enables scalable, reliable, and cost-effective delivery of software applications",Eliminates feedback loops and continuous integration,Encourages opportunities for using time for testing hardware,Allows the development team members to work independently of the operations team,1,Developing software in the cloud,Developing and deploying software in the cloud,Cloud Computing Fundamentals,8,College,15,
89,"Fill in the blank. DevOps is a software development approach that emphasizes  __________, tools, and practices.",monolithic development,traditional technology,hardware maintenance,collaborative principles,4,Developing software in the cloud,Developing and deploying software in the cloud,Cloud Computing Fundamentals,8,College,20,
90,Which of the following is a best practice that cloud software developers should follow?,Consider security at the end of the development lifecycle,Develop software to be portable and that can adapt to changing requirements,"Manage your own servers to reduce costs, improve performance, and simplify development","Design software for one IT environment, with one set of requirements",2,Developing software in the cloud,Developing and deploying software in the cloud,Cloud Computing Fundamentals,8,College,30,